Product ID, Product Description, Wholesale Buy Rate
350001,1 Year Domain New Registration .COM,$8.29
350012,1 Year Domain New Registration .COM Renewal,$8.29
350002,2 Year Domain New Registration .COM,$16.58
350013,2 Year Domain New Registration .COM Renewal,$16.58
350003,3 Year Domain New Registration .COM,$24.87
350014,3 Year Domain New Registration .COM Renewal,$24.87
350004,4 Year Domain New Registration .COM,$33.16
350015,4 Year Domain New Registration .COM Renewal,$33.16
350005,5 Year Domain New Registration .COM,$41.45
350016,5 Year Domain New Registration .COM Renewal,$41.45
350006,6 Year Domain New Registration .COM,$49.74
350017,6 Year Domain New Registration .COM Renewal,$49.74
350007,7 Year Domain New Registration .COM,$58.03
350018,7 Year Domain New Registration .COM Renewal,$58.03
350008,8 Year Domain New Registration .COM,$66.32
350019,8 Year Domain New Registration .COM Renewal,$66.32
350009,9 Year Domain New Registration .COM,$74.61
350020,9 Year Domain New Registration .COM Renewal,$74.61
350010,10 Year Domain New Registration .COM,$82.90
350021,10 Year Domain New Registration .COM Renewal,$82.90
350011,Transfer .COM,$8.29
350030,1 Year Domain New Registration .NET,$6.99
350041,1 Year Domain New Registration .NET Renewal,$6.99
350031,2 Year Domain New Registration .NET,$13.98
350042,2 Year Domain New Registration .NET Renewal,$13.98
350032,3 Year Domain New Registration .NET,$20.97
350043,3 Year Domain New Registration .NET Renewal,$20.97
350033,4 Year Domain New Registration .NET,$27.96
350044,4 Year Domain New Registration .NET Renewal,$27.96
350034,5 Year Domain New Registration .NET,$34.95
350045,5 Year Domain New Registration .NET Renewal,$34.95
350035,6 Year Domain New Registration .NET,$41.94
350046,6 Year Domain New Registration .NET Renewal,$41.94
350036,7 Year Domain New Registration .NET,$48.93
350047,7 Year Domain New Registration .NET Renewal,$48.93
350037,8 Year Domain New Registration .NET,$55.92
350048,8 Year Domain New Registration .NET Renewal,$55.92
350038,9 Year Domain New Registration .NET,$62.91
350049,9 Year Domain New Registration .NET Renewal,$62.91
350039,10 Year Domain New Registration .NET,$69.90
350050,10 Year Domain New Registration .NET Renewal,$69.90
350040,Transfer .NET,$6.99
